id,state,county,rate
01001,Alabama,Autauga County,1.73
01003,Alabama,Baldwin County,6.32
01005,Alabama,Barbour County,2.35
01007,Alabama,Bibb County,0.85
01009,Alabama,Blount County,6.74
01011,Alabama,Bullock County,7.8
01013,Alabama,Butler County,6.57
01015,Alabama,Calhoun County,9.6
01017,Alabama,Chambers County,9.68
01019,Alabama,Cherokee County,8.09
01021,Alabama,Chilton County,4.29
01023,Alabama,Choctaw County,3.24
01025,Alabama,Clarke County,0.16
01027,Alabama,Clay County,0.3
01029,Alabama,Cleburne County,0.04
01031,Alabama,Coffee County,1.63
01033,Alabama,Colbert County,6.91
01035,Alabama,Conecuh County,7.99
01037,Alabama,Coosa County,7.76
01039,Alabama,Covington County,6.64
01041,Alabama,Crenshaw County,4.53
01043,Alabama,Cullman County,8.91
01045,Alabama,Dale County,3.92
01047,Alabama,Dallas County,9.14
01049,Alabama,DeKalb County,6.16
01051,Alabama,Elmore County,1.04
01053,Alabama,Escambia County,4.27
01055,Alabama,Etowah County,1.25
01057,Alabama,Fayette County,5.8
01059,Alabama,Franklin County,9.04
01061,Alabama,Geneva County,5.67
01063,Alabama,Greene County,0.78
01065,Alabama,Hale County,1.66
01067,Alabama,Henry County,4.67
01069,Alabama,Houston County,6.89
01071,Alabama,Jackson County,0.66
01073,Alabama,Jefferson County,2.62
01075,Alabama,Lamar County,5.97
01077,Alabama,Lauderdale County,5.4
01079,Alabama,Lawrence County,3.26
01081,Alabama,Lee County,7.88
01083,Alabama,Limestone County,0.41
01085,Alabama,Lowndes County,5.01
01087,Alabama,Macon County,9.9
01089,Alabama,Madison County,0.08
01091,Alabama,Marengo County,2.73
01093,Alabama,Marion County,1.22
01095,Alabama,Marshall County,6.69
01097,Alabama,Mobile County,8.95
01099,Alabama,Monroe County,2.66
01101,Alabama,Montgomery County,5.26
01103,Alabama,Morgan County,0.71
01105,Alabama,Perry County,3.88
01107,Alabama,Pickens County,3.74
01109,Alabama,Pike County,6.96
01111,Alabama,Randolph County,4.53
01113,Alabama,Russell County,2.29
01115,Alabama,St. Clair County,9.67
01117,Alabama,Shelby County,5.75
01119,Alabama,Sumter County,8.97
01121,Alabama,Talladega County,5.67
01123,Alabama,Tallapoosa County,7.78
01125,Alabama,Tuscaloosa County,3.05
01127,Alabama,Walker County,2.55
01129,Alabama,Washington County,0.79
01131,Alabama,Wilcox County,0.09
01133,Alabama,Winston County,2.92
02013,Alaska,Aleutians East Borough,6.75
02016,Alaska,Aleutians West Census Area,8.91
02020,Alaska,Anchorage Municipality,4.42
02050,Alaska,Bethel Census Area,1.31
02060,Alaska,Bristol Bay Borough,4.25
02068,Alaska,Denali Borough,6.87
02070,Alaska,Dillingham Census Area,2.2
02090,Alaska,Fairbanks North Star Borough,8.9
02100,Alaska,Haines Borough,1.54
02105,Alaska,Hoonah-Angoon Census Area,8.76
02110,Alaska,Juneau City and Borough,4.12
02122,Alaska,Kenai Peninsula Borough,6.31
02130,Alaska,Ketchikan Gateway Borough,3.14
02150,Alaska,Kodiak Island Borough,0.91
02158,Alaska,Kusilvak Census Area,7.29
02164,Alaska,Lake and Peninsula Borough,6.93
02170,Alaska,Matanuska-Susitna Borough,7.97
02180,Alaska,Nome Census Area,3.24
02185,Alaska,North Slope Borough,0.87
02188,Alaska,Northwest Arctic Borough,0.35
02195,Alaska,Petersburg Census Area,3.25
