id,state,county,rate
01001,Alabama,Autauga County,6.01
01003,Alabama,Baldwin County,3.53
01005,Alabama,Barbour County,6.26
01007,Alabama,Bibb County,1.87
01009,Alabama,Blount County,8.04
01011,Alabama,Bullock County,4.6
01013,Alabama,Butler County,2.25
01015,Alabama,Calhoun County,1.35
01017,Alabama,Chambers County,6.96
01019,Alabama,Cherokee County,9.83
01021,Alabama,Chilton County,7.12
01023,Alabama,Choctaw County,4.83
01025,Alabama,Clarke County,5.2
01027,Alabama,Clay County,0.02
01029,Alabama,Cleburne County,5.7
01031,Alabama,Coffee County,4.07
01033,Alabama,Colbert County,5.36
01035,Alabama,Conecuh County,5.59
01037,Alabama,Coosa County,3.89
01039,Alabama,Covington County,0.14
01041,Alabama,Crenshaw County,0.01
01043,Alabama,Cullman County,1.68
01045,Alabama,Dale County,5.24
01047,Alabama,Dallas County,7.14
01049,Alabama,DeKalb County,6.57
01051,Alabama,Elmore County,6.83
01053,Alabama,Escambia County,3.39
01055,Alabama,Etowah County,4.29
01057,Alabama,Fayette County,2.88
01059,Alabama,Franklin County,5.27
01061,Alabama,Geneva County,2.77
01063,Alabama,Greene County,5.15
01065,Alabama,Hale County,5
01067,Alabama,Henry County,8.71
01069,Alabama,Houston County,0.34
01071,Alabama,Jackson County,5.39
01073,Alabama,Jefferson County,3.4
01075,Alabama,Lamar County,3
01077,Alabama,Lauderdale County,1.19
01079,Alabama,Lawrence County,0.92
01081,Alabama,Lee County,9.58
01083,Alabama,Limestone County,8.84
01085,Alabama,Lowndes County,8.41
01087,Alabama,Macon County,4.34
01089,Alabama,Madison County,3.91
01091,Alabama,Marengo County,1.18
01093,Alabama,Marion County,9.63
01095,Alabama,Marshall County,9.28
01097,Alabama,Mobile County,5.25
01099,Alabama,Monroe County,0.21
01101,Alabama,Montgomery County,5.43
01103,Alabama,Morgan County,8.33
01105,Alabama,Perry County,6.75
01107,Alabama,Pickens County,8.87
01109,Alabama,Pike County,5.39
01111,Alabama,Randolph County,2.68
01113,Alabama,Russell County,8.14
01115,Alabama,St. Clair County,8.02
